State,County,Civilian labor force 2007,Employed 2007,Civilian labor force 2007,Employed 2007,Unemployed 2007,Unemployment rate 2007,Civilian labor force 2008,Employed 2008,Unemployed 2008,Unemployment rate 2008,Civilian labor force 2009,Employed 2009,Unemployed 2009,Unemployment rate 2009,Civilian abor force 2010,Employed 2010,Unemployed 2010,Unemployment rate 2010,Civilian labor force 2011,Employed 2011,Unemployed 2011,Unemploymen trate 2011,Civilian labor force 2012,Employed 2012,Unemployed 2012,Unemployment rate 2012,Civilian labor force 2013,Employed 2013,Unemployed 2013,Unemployment rate 2013,Civilian labor force 2014,Employed 2014,Unemployed 2014,Unemployment rate 2014,Civilian labor force 2015,Employed 2015,Unemployed 2015,Unemployment rate 2015,Civilian labor force 2016,Employed 2016,Unemployed 2016,Unemployment rate 2016,Civilian labor force 2017,Employed 2017,Unemployed 2017,Unemployment rate 2017,Civilian labor force 2018,Employed 2018,Unemployed 2018,Unemployment rate 2018,Median Household Income 2017,Income % of State Total 2017
MN,"Aitkin County, MN",7718.00,7193.00,7718.00,7193.00,525.00,6.80,7681.00,7061.00,620.00,8.10,7718.00,6926.00,792.00,10.30,7310.00,6550.00,760.00,10.40,7112.00,6431.00,681.00,9.60,6904.00,6345.00,559.00,8.10,6802.00,6295.00,507.00,7.50,6773.00,6320.00,453.00,6.70,6871.00,6422.00,449.00,6.50,7047.00,6553.00,494.00,7.00,7174.00,6733.00,441.00,6.10,7162.00,6760.00,402.00,5.60,"$44,344",64.90
MN,"Becker County, MN",16852.00,15889.00,16852.00,15889.00,963.00,5.70,16808.00,15672.00,1136.00,6.80,17277.00,15798.00,1479.00,8.60,17602.00,16210.00,1392.00,7.90,17715.00,16451.00,1264.00,7.10,17873.00,16836.00,1037.00,5.80,17969.00,16985.00,984.00,5.50,17973.00,17117.00,856.00,4.80,18395.00,17593.00,802.00,4.40,18610.00,17760.00,850.00,4.60,18562.00,17799.00,763.00,4.10,18591.00,17930.00,661.00,3.60,"$54,502",79.70
MN,"Big Stone County, MN",2801.00,2668.00,2801.00,2668.00,133.00,4.70,2803.00,2648.00,155.00,5.50,2944.00,2775.00,169.00,5.70,2911.00,2722.00,189.00,6.50,2902.00,2715.00,187.00,6.40,2830.00,2682.00,148.00,5.20,2557.00,2419.00,138.00,5.40,2593.00,2478.00,115.00,4.40,2682.00,2563.00,119.00,4.40,2711.00,2581.00,130.00,4.80,2570.00,2458.00,112.00,4.40,2517.00,2421.00,96.00,3.80,"$48,553",71.00
MN,"Brown County, MN",14676.00,13966.00,14676.00,13966.00,710.00,4.80,14903.00,14009.00,894.00,6.00,15063.00,13964.00,1099.00,7.30,15102.00,14064.00,1038.00,6.90,15042.00,14157.00,885.00,5.90,14817.00,13982.00,835.00,5.60,14524.00,13769.00,755.00,5.20,14191.00,13543.00,648.00,4.60,14617.00,14021.00,596.00,4.10,14561.00,13951.00,610.00,4.20,14381.00,13854.00,527.00,3.70,14535.00,14047.00,488.00,3.40,"$57,742",84.50
MN,"Carlton County, MN",17208.00,16232.00,17208.00,16232.00,976.00,5.70,17438.00,16277.00,1161.00,6.70,17566.00,16079.00,1487.00,8.50,17794.00,16304.00,1490.00,8.40,17630.00,16286.00,1344.00,7.60,17472.00,16272.00,1200.00,6.90,17509.00,16462.00,1047.00,6.00,17587.00,16665.00,922.00,5.20,17567.00,16706.00,861.00,4.90,17790.00,16849.00,941.00,5.30,17690.00,16863.00,827.00,4.70,17655.00,16926.00,729.00,4.10,"$60,740",88.80
MN,"Chippewa County, MN",7071.00,6768.00,7071.00,6768.00,303.00,4.30,7136.00,6765.00,371.00,5.20,7298.00,6733.00,565.00,7.70,7153.00,6628.00,525.00,7.30,7183.00,6730.00,453.00,6.30,7058.00,6685.00,373.00,5.30,6945.00,6588.00,357.00,5.10,6897.00,6584.00,313.00,4.50,6943.00,6640.00,303.00,4.40,6985.00,6671.00,314.00,4.50,6925.00,6654.00,271.00,3.90,6887.00,6667.00,220.00,3.20,"$60,039",87.80
MN,"Clearwater County, MN",3872.00,3475.00,3872.00,3475.00,397.00,10.30,4045.00,3582.00,463.00,11.40,4223.00,3604.00,619.00,14.70,4589.00,3988.00,601.00,13.10,4573.00,4030.00,543.00,11.90,4409.00,3944.00,465.00,10.50,4474.00,3998.00,476.00,10.60,4545.00,4070.00,475.00,10.50,4626.00,4207.00,419.00,9.10,4728.00,4275.00,453.00,9.60,4599.00,4200.00,399.00,8.70,4475.00,4111.00,364.00,8.10,"$48,115",70.40
MN,"Cook County, MN",3133.00,2982.00,3133.00,2982.00,151.00,4.80,3121.00,2947.00,174.00,5.60,3116.00,2898.00,218.00,7.00,3056.00,2837.00,219.00,7.20,3051.00,2842.00,209.00,6.90,3048.00,2858.00,190.00,6.20,3055.00,2878.00,177.00,5.80,3056.00,2884.00,172.00,5.60,3153.00,3015.00,138.00,4.40,3102.00,2962.00,140.00,4.50,3107.00,2990.00,117.00,3.80,3029.00,2924.00,105.00,3.50,"$51,146",74.80
MN,"Cottonwood County, MN",6261.00,6009.00,6261.00,6009.00,252.00,4.00,6290.00,5959.00,331.00,5.30,6477.00,6070.00,407.00,6.30,6227.00,5822.00,405.00,6.50,6139.00,5762.00,377.00,6.10,5947.00,5561.00,386.00,6.50,5756.00,5422.00,334.00,5.80,5580.00,5288.00,292.00,5.20,5786.00,5512.00,274.00,4.70,5548.00,5151.00,397.00,7.20,5715.00,5422.00,293.00,5.10,5826.00,5619.00,207.00,3.60,"$48,976",71.60
MN,"Dodge County, MN",11028.00,10552.00,11028.00,10552.00,476.00,4.30,11041.00,10467.00,574.00,5.20,11131.00,10310.00,821.00,7.40,11307.00,10525.00,782.00,6.90,11235.00,10559.00,676.00,6.00,11339.00,10768.00,571.00,5.00,11330.00,10794.00,536.00,4.70,11250.00,10781.00,469.00,4.20,11451.00,11026.00,425.00,3.70,11589.00,11159.00,430.00,3.70,11700.00,11311.00,389.00,3.30,11834.00,11482.00,352.00,3.00,"$70,431",103.00
MN,"Douglas County, MN",20039.00,19154.00,20039.00,19154.00,885.00,4.40,20363.00,19352.00,1011.00,5.00,20767.00,19387.00,1380.00,6.60,19817.00,18471.00,1346.00,6.80,19780.00,18584.00,1196.00,6.00,19810.00,18812.00,998.00,5.00,19873.00,18991.00,882.00,4.40,19873.00,19132.00,741.00,3.70,20134.00,19448.00,686.00,3.40,20287.00,19581.00,706.00,3.50,20531.00,19888.00,643.00,3.10,20604.00,20023.00,581.00,2.80,"$62,809",91.90
MN,"Faribault County, MN",7777.00,7370.00,7777.00,7370.00,407.00,5.20,7750.00,7267.00,483.00,6.20,7712.00,7005.00,707.00,9.20,7831.00,7207.00,624.00,8.00,7794.00,7242.00,552.00,7.10,7771.00,7318.00,453.00,5.80,7494.00,7090.00,404.00,5.40,7374.00,6989.00,385.00,5.20,7501.00,7174.00,327.00,4.40,7341.00,7019.00,322.00,4.40,7139.00,6845.00,294.00,4.10,7006.00,6763.00,243.00,3.50,"$45,963",67.20
MN,"Fillmore County, MN",11157.00,10590.00,11157.00,10590.00,567.00,5.10,10970.00,10302.00,668.00,6.10,11270.00,10359.00,911.00,8.10,11246.00,10402.00,844.00,7.50,11224.00,10479.00,745.00,6.60,11274.00,10650.00,624.00,5.50,11107.00,10549.00,558.00,5.00,11025.00,10540.00,485.00,4.40,11403.00,10939.00,464.00,4.10,11530.00,11066.00,464.00,4.00,11413.00,11018.00,395.00,3.50,11534.00,11177.00,357.00,3.10,"$56,165",82.20
MN,"Freeborn County, MN",16336.00,15530.00,16336.00,15530.00,806.00,4.90,16347.00,15417.00,930.00,5.70,16527.00,15136.00,1391.00,8.40,17087.00,15767.00,1320.00,7.70,17051.00,15919.00,1132.00,6.60,16675.00,15707.00,968.00,5.80,16459.00,15640.00,819.00,5.00,16245.00,15541.00,704.00,4.30,16341.00,15727.00,614.00,3.80,16331.00,15708.00,623.00,3.80,16145.00,15565.00,580.00,3.60,16044.00,15532.00,512.00,3.20,"$52,117",76.20
MN,"Grant County, MN",3018.00,2840.00,3018.00,2840.00,178.00,5.90,3053.00,2838.00,215.00,7.00,3174.00,2909.00,265.00,8.30,3399.00,3129.00,270.00,7.90,3375.00,3142.00,233.00,6.90,3337.00,3133.00,204.00,6.10,3282.00,3094.00,188.00,5.70,3281.00,3118.00,163.00,5.00,3346.00,3189.00,157.00,4.70,3296.00,3142.00,154.00,4.70,3281.00,3148.00,133.00,4.10,3303.00,3172.00,131.00,4.00,"$50,943",74.50
MN,"Houston County, MN",10980.00,10424.00,10980.00,10424.00,556.00,5.10,10910.00,10282.00,628.00,5.80,11009.00,10134.00,875.00,7.90,10830.00,9999.00,831.00,7.70,10665.00,9930.00,735.00,6.90,10571.00,9957.00,614.00,5.80,10478.00,9953.00,525.00,5.00,10356.00,9897.00,459.00,4.40,10482.00,10084.00,398.00,3.80,10629.00,10214.00,415.00,3.90,10457.00,10103.00,354.00,3.40,10460.00,10161.00,299.00,2.90,"$55,558",81.30
MN,"Hubbard County, MN",9188.00,8603.00,9188.00,8603.00,585.00,6.40,9562.00,8839.00,723.00,7.60,9570.00,8618.00,952.00,9.90,9751.00,8784.00,967.00,9.90,9512.00,8638.00,874.00,9.20,9540.00,8773.00,767.00,8.00,9534.00,8846.00,688.00,7.20,9436.00,8833.00,603.00,6.40,9552.00,8969.00,583.00,6.10,9821.00,9185.00,636.00,6.50,9820.00,9275.00,545.00,5.50,9851.00,9361.00,490.00,5.00,"$56,129",82.10
MN,"Jackson County, MN",6532.00,6280.00,6532.00,6280.00,252.00,3.90,6621.00,6343.00,278.00,4.20,6976.00,6598.00,378.00,5.40,6026.00,5674.00,352.00,5.80,6090.00,5760.00,330.00,5.40,6206.00,5924.00,282.00,4.50,6229.00,5971.00,258.00,4.10,6301.00,6038.00,263.00,4.20,6287.00,6034.00,253.00,4.00,6115.00,5839.00,276.00,4.50,5755.00,5549.00,206.00,3.60,5733.00,5566.00,167.00,2.90,"$55,981",81.90
MN,"Kanabec County, MN",7917.00,7263.00,7917.00,7263.00,654.00,8.30,8014.00,7192.00,822.00,10.30,8115.00,7056.00,1059.00,13.00,8784.00,7800.00,984.00,11.20,8709.00,7834.00,875.00,10.00,8732.00,7947.00,785.00,9.00,8793.00,8077.00,716.00,8.10,8850.00,8192.00,658.00,7.40,8833.00,8253.00,580.00,6.60,9016.00,8431.00,585.00,6.50,9030.00,8487.00,543.00,6.00,8934.00,8445.00,489.00,5.50,"$53,181",77.80
MN,"Kittson County, MN",2486.00,2344.00,2486.00,2344.00,142.00,5.70,2477.00,2337.00,140.00,5.70,2523.00,2342.00,181.00,7.20,2576.00,2382.00,194.00,7.50,2604.00,2426.00,178.00,6.80,2563.00,2414.00,149.00,5.80,2419.00,2274.00,145.00,6.00,2390.00,2273.00,117.00,4.90,2472.00,2358.00,114.00,4.60,2411.00,2301.00,110.00,4.60,2367.00,2280.00,87.00,3.70,2346.00,2277.00,69.00,2.90,"$52,327",76.50
MN,"Koochiching County, MN",6517.00,6063.00,6517.00,6063.00,454.00,7.00,6533.00,6030.00,503.00,7.70,6679.00,6050.00,629.00,9.40,6938.00,6336.00,602.00,8.70,6811.00,6242.00,569.00,8.40,6702.00,6167.00,535.00,8.00,6725.00,6168.00,557.00,8.30,6433.00,5889.00,544.00,8.50,6252.00,5746.00,506.00,8.10,6180.00,5656.00,524.00,8.50,5970.00,5552.00,418.00,7.00,5956.00,5594.00,362.00,6.10,"$48,942",71.60
MN,"Lac qui Parle County, MN",4055.00,3887.00,4055.00,3887.00,168.00,4.10,4113.00,3915.00,198.00,4.80,4333.00,4069.00,264.00,6.10,4082.00,3810.00,272.00,6.70,3974.00,3733.00,241.00,6.10,3856.00,3662.00,194.00,5.00,3667.00,3462.00,205.00,5.60,3651.00,3477.00,174.00,4.80,3763.00,3609.00,154.00,4.10,3629.00,3474.00,155.00,4.30,3524.00,3404.00,120.00,3.40,3528.00,3400.00,128.00,3.60,"$53,046",77.60
MN,"Lake County, MN",6131.00,5856.00,6131.00,5856.00,275.00,4.50,6169.00,5843.00,326.00,5.30,6195.00,5634.00,561.00,9.10,5798.00,5316.00,482.00,8.30,5814.00,5414.00,400.00,6.90,5828.00,5478.00,350.00,6.00,5775.00,5417.00,358.00,6.20,5682.00,5421.00,261.00,4.60,5609.00,5341.00,268.00,4.80,5432.00,5087.00,345.00,6.40,5505.00,5296.00,209.00,3.80,5478.00,5306.00,172.00,3.10,"$55,622",81.40
MN,"Lake of the Woods County, MN",2298.00,2182.00,2298.00,2182.00,116.00,5.00,2272.00,2135.00,137.00,6.00,2273.00,2101.00,172.00,7.60,2282.00,2134.00,148.00,6.50,2339.00,2194.00,145.00,6.20,2347.00,2204.00,143.00,6.10,2374.00,2240.00,134.00,5.60,2387.00,2273.00,114.00,4.80,2421.00,2314.00,107.00,4.40,2389.00,2274.00,115.00,4.80,2383.00,2273.00,110.00,4.60,2405.00,2314.00,91.00,3.80,"$49,828",72.90
MN,"Le Sueur County, MN",14183.00,13311.00,14183.00,13311.00,872.00,6.10,14362.00,13306.00,1056.00,7.40,14427.00,12899.00,1528.00,10.60,15715.00,14324.00,1391.00,8.90,15684.00,14494.00,1190.00,7.60,15488.00,14482.00,1006.00,6.50,15497.00,14553.00,944.00,6.10,15483.00,14648.00,835.00,5.40,15533.00,14787.00,746.00,4.80,15602.00,14841.00,761.00,4.90,15853.00,15123.00,730.00,4.60,15962.00,15300.00,662.00,4.10,"$69,581",101.80
MN,"Lincoln County, MN",3210.00,3064.00,3210.00,3064.00,146.00,4.50,3259.00,3094.00,165.00,5.10,3376.00,3180.00,196.00,5.80,3445.00,3255.00,190.00,5.50,3448.00,3270.00,178.00,5.20,3422.00,3260.00,162.00,4.70,3311.00,3158.00,153.00,4.60,3280.00,3138.00,142.00,4.30,3391.00,3273.00,118.00,3.50,3393.00,3269.00,124.00,3.70,3358.00,3251.00,107.00,3.20,3269.00,3171.00,98.00,3.00,"$51,278",75.00
MN,"Lyon County, MN",14454.00,13902.00,14454.00,13902.00,552.00,3.80,14557.00,13913.00,644.00,4.40,14762.00,13907.00,855.00,5.80,15226.00,14375.00,851.00,5.60,15396.00,14586.00,810.00,5.30,15230.00,14558.00,672.00,4.40,15280.00,14649.00,631.00,4.10,15283.00,14731.00,552.00,3.60,15283.00,14793.00,490.00,3.20,15229.00,14688.00,541.00,3.60,14967.00,14495.00,472.00,3.20,14818.00,14392.00,426.00,2.90,"$55,255",80.80
MN,"Mahnomen County, MN",2430.00,2266.00,2430.00,2266.00,164.00,6.70,2413.00,2239.00,174.00,7.20,2437.00,2248.00,189.00,7.80,2503.00,2296.00,207.00,8.30,2493.00,2304.00,189.00,7.60,2478.00,2306.00,172.00,6.90,2397.00,2259.00,138.00,5.80,2361.00,2228.00,133.00,5.60,2405.00,2266.00,139.00,5.80,2395.00,2257.00,138.00,5.80,2361.00,2244.00,117.00,5.00,2329.00,2223.00,106.00,4.60,"$43,591",63.80
MN,"Marshall County, MN",5172.00,4759.00,5172.00,4759.00,413.00,8.00,5168.00,4762.00,406.00,7.90,5350.00,4827.00,523.00,9.80,5698.00,5170.00,528.00,9.30,5787.00,5304.00,483.00,8.30,5746.00,5306.00,440.00,7.70,5567.00,5142.00,425.00,7.60,5590.00,5212.00,378.00,6.80,5742.00,5347.00,395.00,6.90,5632.00,5221.00,411.00,7.30,5474.00,5099.00,375.00,6.90,5440.00,5125.00,315.00,5.80,"$56,330",82.40
MN,"Martin County, MN",11257.00,10762.00,11257.00,10762.00,495.00,4.40,11492.00,10930.00,562.00,4.90,11690.00,10816.00,874.00,7.50,11506.00,10664.00,842.00,7.30,11212.00,10468.00,744.00,6.60,10873.00,10263.00,610.00,5.60,10335.00,9791.00,544.00,5.30,10219.00,9738.00,481.00,4.70,10444.00,10022.00,422.00,4.00,10491.00,10060.00,431.00,4.10,10410.00,10057.00,353.00,3.40,10303.00,9980.00,323.00,3.10,"$53,805",78.70
MN,"Meeker County, MN",12380.00,11646.00,12380.00,11646.00,734.00,5.90,12498.00,11673.00,825.00,6.60,12551.00,11354.00,1197.00,9.50,12811.00,11684.00,1127.00,8.80,12844.00,11853.00,991.00,7.70,12736.00,11897.00,839.00,6.60,12741.00,12036.00,705.00,5.50,12859.00,12267.00,592.00,4.60,13338.00,12780.00,558.00,4.20,13298.00,12702.00,596.00,4.50,13241.00,12713.00,528.00,4.00,13143.00,12685.00,458.00,3.50,"$56,068",82.00
MN,"Mille Lacs County, MN",12282.00,11343.00,12282.00,11343.00,939.00,7.60,12317.00,11203.00,1114.00,9.00,12423.00,10866.00,1557.00,12.50,13152.00,11695.00,1457.00,11.10,12924.00,11683.00,1241.00,9.60,12693.00,11634.00,1059.00,8.30,12678.00,11727.00,951.00,7.50,12681.00,11830.00,851.00,6.70,12610.00,11882.00,728.00,5.80,12758.00,11999.00,759.00,5.90,12723.00,12026.00,697.00,5.50,12788.00,12169.00,619.00,4.80,"$53,273",77.90
MN,"Mower County, MN",20346.00,19523.00,20346.00,19523.00,823.00,4.00,20449.00,19510.00,939.00,4.60,21020.00,19709.00,1311.00,6.20,20908.00,19634.00,1274.00,6.10,20818.00,19641.00,1177.00,5.70,20661.00,19630.00,1031.00,5.00,20474.00,19557.00,917.00,4.50,20278.00,19504.00,774.00,3.80,20358.00,19707.00,651.00,3.20,20576.00,19926.00,650.00,3.20,20563.00,19991.00,572.00,2.80,20450.00,19903.00,547.00,2.70,"$55,772",81.60
MN,"Murray County, MN",5382.00,5152.00,5382.00,5152.00,230.00,4.30,5431.00,5155.00,276.00,5.10,5755.00,5429.00,326.00,5.70,5022.00,4678.00,344.00,6.80,5039.00,4725.00,314.00,6.20,4995.00,4735.00,260.00,5.20,4837.00,4579.00,258.00,5.30,4858.00,4621.00,237.00,4.90,5062.00,4838.00,224.00,4.40,4970.00,4735.00,235.00,4.70,4884.00,4672.00,212.00,4.30,4906.00,4724.00,182.00,3.70,"$60,682",88.80
MN,"Nicollet County, MN",19264.00,18565.00,19264.00,18565.00,699.00,3.60,19842.00,18979.00,863.00,4.30,19951.00,18704.00,1247.00,6.30,19782.00,18575.00,1207.00,6.10,19939.00,18924.00,1015.00,5.10,19739.00,18839.00,900.00,4.60,19715.00,18978.00,737.00,3.70,19769.00,19165.00,604.00,3.10,20303.00,19770.00,533.00,2.60,20413.00,19835.00,578.00,2.80,20618.00,20103.00,515.00,2.50,20756.00,20300.00,456.00,2.20,"$66,944",97.90
MN,"Nobles County, MN",11134.00,10748.00,11134.00,10748.00,386.00,3.50,11144.00,10681.00,463.00,4.20,11615.00,11009.00,606.00,5.20,11522.00,10876.00,646.00,5.60,11485.00,10880.00,605.00,5.30,11289.00,10799.00,490.00,4.30,11061.00,10615.00,446.00,4.00,11232.00,10848.00,384.00,3.40,11524.00,11156.00,368.00,3.20,11488.00,11055.00,433.00,3.80,11342.00,10987.00,355.00,3.10,11284.00,10988.00,296.00,2.60,"$49,935",73.00
MN,"Norman County, MN",3551.00,3370.00,3551.00,3370.00,181.00,5.10,3536.00,3337.00,199.00,5.60,3596.00,3366.00,230.00,6.40,3603.00,3355.00,248.00,6.90,3649.00,3405.00,244.00,6.70,3522.00,3314.00,208.00,5.90,3312.00,3122.00,190.00,5.70,3315.00,3149.00,166.00,5.00,3441.00,3281.00,160.00,4.60,3452.00,3287.00,165.00,4.80,3396.00,3239.00,157.00,4.60,3379.00,3234.00,145.00,4.30,"$50,481",73.80
MN,"Pennington County, MN",8550.00,7961.00,8550.00,7961.00,589.00,6.90,8718.00,8100.00,618.00,7.10,8975.00,8184.00,791.00,8.80,8398.00,7639.00,759.00,9.00,8559.00,7903.00,656.00,7.70,8589.00,8022.00,567.00,6.60,8656.00,8109.00,547.00,6.30,8844.00,8388.00,456.00,5.20,9076.00,8612.00,464.00,5.10,9068.00,8547.00,521.00,5.70,8795.00,8303.00,492.00,5.60,8797.00,8428.00,369.00,4.20,"$56,015",81.90
MN,"Pipestone County, MN",5292.00,5094.00,5292.00,5094.00,198.00,3.70,5615.00,5366.00,249.00,4.40,5578.00,5225.00,353.00,6.30,5148.00,4809.00,339.00,6.60,5031.00,4704.00,327.00,6.50,4906.00,4662.00,244.00,5.00,4689.00,4473.00,216.00,4.60,4781.00,4601.00,180.00,3.80,4976.00,4810.00,166.00,3.30,4915.00,4728.00,187.00,3.80,4859.00,4699.00,160.00,3.30,4971.00,4828.00,143.00,2.90,"$50,784",74.30
MN,"Polk County, MN",16675.00,15910.00,16675.00,15910.00,765.00,4.60,16893.00,16044.00,849.00,5.00,17149.00,16141.00,1008.00,5.90,17156.00,16019.00,1137.00,6.60,17420.00,16196.00,1224.00,7.00,17506.00,16418.00,1088.00,6.20,17100.00,16180.00,920.00,5.40,17086.00,16298.00,788.00,4.60,17162.00,16440.00,722.00,4.20,17194.00,16448.00,746.00,4.30,16992.00,16288.00,704.00,4.10,16786.00,16171.00,615.00,3.70,"$54,717",80.00
MN,"Pope County, MN",6101.00,5830.00,6101.00,5830.00,271.00,4.40,6093.00,5769.00,324.00,5.30,6249.00,5805.00,444.00,7.10,5880.00,5461.00,419.00,7.10,5860.00,5515.00,345.00,5.90,5944.00,5667.00,277.00,4.70,5964.00,5710.00,254.00,4.30,6223.00,5996.00,227.00,3.60,6388.00,6166.00,222.00,3.50,6320.00,6096.00,224.00,3.50,6359.00,6167.00,192.00,3.00,6431.00,6265.00,166.00,2.60,"$59,903",87.60
MN,"Red Lake County, MN",2297.00,2111.00,2297.00,2111.00,186.00,8.10,2361.00,2174.00,187.00,7.90,2432.00,2187.00,245.00,10.10,2419.00,2187.00,232.00,9.60,2424.00,2228.00,196.00,8.10,2340.00,2171.00,169.00,7.20,2255.00,2103.00,152.00,6.70,2259.00,2128.00,131.00,5.80,2329.00,2192.00,137.00,5.90,2296.00,2128.00,168.00,7.30,2250.00,2103.00,147.00,6.50,2231.00,2116.00,115.00,5.20,"$51,785",75.70
MN,"Redwood County, MN",8272.00,7882.00,8272.00,7882.00,390.00,4.70,8089.00,7651.00,438.00,5.40,8438.00,7870.00,568.00,6.70,8580.00,8002.00,578.00,6.70,8385.00,7878.00,507.00,6.00,8205.00,7752.00,453.00,5.50,8051.00,7610.00,441.00,5.50,8001.00,7648.00,353.00,4.40,8267.00,7945.00,322.00,3.90,8343.00,8001.00,342.00,4.10,7676.00,7367.00,309.00,4.00,7614.00,7340.00,274.00,3.60,"$53,985",79.00
MN,"Renville County, MN",8482.00,8037.00,8482.00,8037.00,445.00,5.20,8682.00,8181.00,501.00,5.80,8771.00,8083.00,688.00,7.80,8993.00,8269.00,724.00,8.10,8545.00,7919.00,626.00,7.30,8426.00,7855.00,571.00,6.80,8238.00,7702.00,536.00,6.50,8205.00,7753.00,452.00,5.50,8590.00,8179.00,411.00,4.80,8439.00,7996.00,443.00,5.20,8879.00,8491.00,388.00,4.40,8787.00,8442.00,345.00,3.90,"$54,758",80.10
MN,"Rock County, MN",4925.00,4769.00,4925.00,4769.00,156.00,3.20,4945.00,4754.00,191.00,3.90,5052.00,4784.00,268.00,5.30,5377.00,5105.00,272.00,5.10,5617.00,5380.00,237.00,4.20,5546.00,5344.00,202.00,3.60,5626.00,5446.00,180.00,3.20,5672.00,5528.00,144.00,2.50,5908.00,5783.00,125.00,2.10,5927.00,5790.00,137.00,2.30,5873.00,5752.00,121.00,2.10,5726.00,5594.00,132.00,2.30,"$60,041",87.80
MN,"Roseau County, MN",9755.00,9140.00,9755.00,9140.00,615.00,6.30,9562.00,9089.00,473.00,4.90,9533.00,8809.00,724.00,7.60,8685.00,8130.00,555.00,6.40,8528.00,8072.00,456.00,5.30,8537.00,8134.00,403.00,4.70,8614.00,8235.00,379.00,4.40,8812.00,8488.00,324.00,3.70,8600.00,8260.00,340.00,4.00,8272.00,7849.00,423.00,5.10,8141.00,7748.00,393.00,4.80,7989.00,7724.00,265.00,3.30,"$58,742",85.90
MN,"Sibley County, MN",8694.00,8256.00,8694.00,8256.00,438.00,5.00,8650.00,8109.00,541.00,6.30,8892.00,8193.00,699.00,7.90,8506.00,7836.00,670.00,7.90,8500.00,7915.00,585.00,6.90,8418.00,7915.00,503.00,6.00,8320.00,7863.00,457.00,5.50,8268.00,7886.00,382.00,4.60,8509.00,8157.00,352.00,4.10,8517.00,8153.00,364.00,4.30,8413.00,8115.00,298.00,3.50,8473.00,8205.00,268.00,3.20,"$59,378",86.90
MN,"Steele County, MN",20401.00,19523.00,20401.00,19523.00,878.00,4.30,20797.00,19742.00,1055.00,5.10,20813.00,19025.00,1788.00,8.60,21063.00,19426.00,1637.00,7.80,21118.00,19753.00,1365.00,6.50,21570.00,20400.00,1170.00,5.40,21395.00,20419.00,976.00,4.60,21301.00,20496.00,805.00,3.80,21199.00,20494.00,705.00,3.30,21250.00,20493.00,757.00,3.60,20534.00,19852.00,682.00,3.30,20563.00,19958.00,605.00,2.90,"$60,143",88.00
MN,"Stevens County, MN",5640.00,5430.00,5640.00,5430.00,210.00,3.70,5626.00,5364.00,262.00,4.70,5630.00,5329.00,301.00,5.30,5547.00,5238.00,309.00,5.60,5587.00,5315.00,272.00,4.90,5606.00,5369.00,237.00,4.20,5510.00,5303.00,207.00,3.80,5569.00,5388.00,181.00,3.30,5709.00,5549.00,160.00,2.80,5667.00,5497.00,170.00,3.00,5508.00,5364.00,144.00,2.60,5457.00,5328.00,129.00,2.40,"$59,406",86.90
MN,"Swift County, MN",5313.00,5036.00,5313.00,5036.00,277.00,5.20,5223.00,4905.00,318.00,6.10,5507.00,5113.00,394.00,7.20,5239.00,4815.00,424.00,8.10,5194.00,4823.00,371.00,7.10,5084.00,4771.00,313.00,6.20,4894.00,4609.00,285.00,5.80,4868.00,4632.00,236.00,4.80,5170.00,4860.00,310.00,6.00,5060.00,4789.00,271.00,5.40,5048.00,4844.00,204.00,4.00,5037.00,4853.00,184.00,3.70,"$53,561",78.30
MN,"Todd County, MN",12228.00,11565.00,12228.00,11565.00,663.00,5.40,12194.00,11396.00,798.00,6.50,12534.00,11417.00,1117.00,8.90,13519.00,12471.00,1048.00,7.80,13296.00,12393.00,903.00,6.80,13033.00,12277.00,756.00,5.80,12851.00,12166.00,685.00,5.30,12817.00,12220.00,597.00,4.70,13006.00,12438.00,568.00,4.40,12943.00,12334.00,609.00,4.70,13498.00,12973.00,525.00,3.90,13587.00,13062.00,525.00,3.90,"$49,962",73.10
MN,"Traverse County, MN",1839.00,1744.00,1839.00,1744.00,95.00,5.20,1758.00,1662.00,96.00,5.50,1791.00,1672.00,119.00,6.60,1881.00,1764.00,117.00,6.20,1843.00,1733.00,110.00,6.00,1775.00,1686.00,89.00,5.00,1660.00,1576.00,84.00,5.10,1712.00,1633.00,79.00,4.60,1835.00,1759.00,76.00,4.10,1712.00,1645.00,67.00,3.90,1771.00,1709.00,62.00,3.50,1760.00,1703.00,57.00,3.20,"$50,692",74.20
MN,"Wabasha County, MN",12215.00,11672.00,12215.00,11672.00,543.00,4.40,12085.00,11476.00,609.00,5.00,12261.00,11329.00,932.00,7.60,12107.00,11242.00,865.00,7.10,11954.00,11217.00,737.00,6.20,11959.00,11340.00,619.00,5.20,11829.00,11284.00,545.00,4.60,11726.00,11253.00,473.00,4.00,11991.00,11539.00,452.00,3.80,12048.00,11604.00,444.00,3.70,12163.00,11762.00,401.00,3.30,12295.00,11934.00,361.00,2.90,"$63,374",92.70
